area_id,latitude,longitude,latitude,longitude,total_incidents,incidents_5yr,night_incidents,sexual_offences,harassment_count,assault_count,avg_severity,repeat_offender_cases,street_lighting,cctv_density,proximity_transit,population_density,slum_density,nightlife_density,incident_density,weighted_risk_score,trend_12month,risk_index,area_type_enc
CHN-00001,12.90225,80.15225,12.90225,80.15225,30,9,13,3,14,13,1.0,4,0.627,7.49,1673.3,9913.4,0.086,1.27,120,0.05,-0.1812,0.1853,0
CHN-00002,12.90225,80.15675,12.90225,80.15675,29,9,13,4,11,14,1.22,2,0.772,6.32,140.6,23726.4,0.135,1.3,116,0.059,0.2161,0.1858,2
CHN-00003,12.90225,80.16125,12.90225,80.16125,47,18,23,5,18,24,1.09,8,0.516,5.22,657.8,25221.1,0.402,2.31,188,0.0854,0.2593,0.3001,0
CHN-00004,12.90225,80.16575,12.90225,80.16575,53,23,22,6,16,31,1.11,5,0.587,6.09,745.7,14489.4,0.334,1.89,212,0.0981,0.1456,0.2826,0
CHN-00005,12.90225,80.17025,12.90225,80.17025,17,5,10,3,7,7,1.0,1,0.867,6.62,1733.1,19039.0,0.025,0.51,68,0.0283,-0.1982,0.1323,0
CHN-00006,12.90225,80.17475,12.90225,80.17475,24,9,14,4,10,10,1.0,3,0.807,5.74,260.4,4257.9,0.205,1.45,96,0.04,-0.0621,0.2018,1
CHN-00007,12.90225,80.17925,12.90225,80.17925,47,15,19,6,15,26,1.9,8,0.686,5.8,1617.2,11622.7,0.485,2.92,188,0.1488,0.158,0.2952,1
CHN-00008,12.90225,80.18375,12.90225,80.18375,38,13,22,8,11,19,1.47,4,0.525,4.33,708.3,40962.9,0.311,2.86,152,0.0931,0.0945,0.3009,1
CHN-00009,12.90225,80.18825,12.90225,80.18825,40,14,19,5,12,23,1.0,5,0.643,6.14,1821.1,10687.5,0.071,1.87,160,0.0667,0.2268,0.2193,0
CHN-00010,12.90225,80.19275,12.90225,80.19275,25,10,12,4,10,11,1.0,1,0.999,6.56,413.7,4338.2,0.162,2.03,100,0.0417,-0.3631,0.1743,1
CHN-00011,12.90225,80.19725,12.90225,80.19725,35,14,17,8,11,16,1.0,2,0.941,6.92,553.0,25303.8,0.324,2.26,140,0.0583,-0.0364,0.2047,2
CHN-00012,12.90225,80.20175,12.90225,80.20175,23,8,13,5,10,8,1.0,3,0.699,6.25,1802.2,20492.4,0.0,0.88,92,0.0383,0.025,0.1782,2
CHN-00013,12.90225,80.20625,12.90225,80.20625,12,4,5,2,4,6,1.0,1,1.0,8.28,1332.3,16869.8,0.0,0.99,48,0.02,-0.2305,0.105,2
CHN-00014,12.90225,80.21075,12.90225,80.21075,20,7,11,3,8,9,1.0,1,0.954,6.48,97.4,21632.9,0.039,2.56,80,0.0333,0.1994,0.1642,0
CHN-00015,12.90225,80.21525,12.90225,80.21525,48,21,29,6,18,24,1.83,4,0.498,5.15,1875.5,31606.9,0.391,2.05,192,0.1464,0.043,0.3309,2
CHN-00016,12.90225,80.21975,12.90225,80.21975,53,21,30,10,19,24,1.38,9,0.728,5.56,1830.8,25111.9,0.397,3.58,212,0.1219,0.0693,0.298,1
CHN-00017,12.90225,80.22425,12.90225,80.22425,50,17,21,9,15,26,1.15,6,0.619,5.82,109.5,5315.7,0.392,2.2,200,0.0958,-0.2646,0.2711,1
CHN-00018,12.90225,80.22875,12.90225,80.22875,28,8,11,5,11,12,1.07,4,0.958,6.17,679.8,29885.5,0.164,2.04,112,0.0499,-0.3064,0.1648,1
CHN-00019,12.90225,80.23325,12.90225,80.23325,16,5,7,1,5,10,1.0,2,1.0,7.09,1912.0,21351.9,0.075,1.52,64,0.0267,-0.1365,0.1302,0
CHN-00020,12.90225,80.23775,12.90225,80.23775,25,7,10,2,11,12,1.0,3,0.702,6.89,973.3,8146.1,0.117,1.48,100,0.0417,-0.0031,0.1792,2
CHN-00021,12.90225,80.24225,12.90225,80.24225,35,13,21,6,11,18,1.0,5,0.538,5.99,1883.4,23860.7,0.239,2.65,140,0.0583,-0.0706,0.2658,2
CHN-00022,12.90225,80.24675,12.90225,80.24675,32,13,14,3,10,19,1.0,2,0.832,5.21,672.0,31875.9,0.098,2.83,128,0.0533,-0.1827,0.2232,0
CHN-00023,12.90225,80.25125,12.90225,80.25125,17,6,10,2,5,10,1.0,2,1.0,7.09,775.4,23618.0,0.044,2.32,68,0.0283,0.1333,0.1471,1
CHN-00024,12.90225,80.25575,12.90225,80.25575,33,14,17,7,12,14,1.2,3,0.604,7.21,228.0,13561.2,0.335,2.9,132,0.066,-0.0159,0.2702,1
CHN-00025,12.90225,80.26025,12.90225,80.26025,34,13,19,7,15,12,1.0,4,0.552,5.93,911.0,34660.3,0.226,1.59,136,0.0567,-0.26,0.2495,2
CHN-00026,12.90225,80.26475,12.90225,80.26475,33,13,13,7,14,12,1.0,2,0.878,5.22,772.8,33948.0,0.451,3.55,132,0.055,0.1153,0.26,1
CHN-00027,12.90225,80.26925,12.90225,80.26925,31,11,19,3,12,16,1.0,3,0.641,5.78,279.2,23323.7,0.256,2.08,124,0.0517,0.2136,0.2404,2
